fuzzer,domain-name,dns-a,dns-aaaa,dns-mx,dns-ns,geoip-country,whois-created,whois-updated,ssdeep-score
Original*,trump.com,104.16.42.145,,mail.trump.com,megan.ns.cloudflare.com,United States,1997-07-09T00:00:00,2016-05-21T00:00:00,99
Addition,trumpa.com,173.239.23.228,,,ns1.domain-is-4-sale-at-domainmarket.com,United States,2007-12-04T00:00:00,2016-12-07T00:00:00,0
Addition,trumpb.com,50.63.202.9,,smtp.secureserver.net,ns57.domaincontrol.com,United States,2016-10-31T00:00:00,2016-11-09T00:00:00,0
Addition,trumpc.com,219.118.222.233,,imx34.asj-hosting.net,ns.asj-hosting.net,Japan,1998-04-28T00:00:00,2016-03-04T00:00:00,0
Addition,trumpd.com,184.168.221.96,,smtp.secureserver.net,ns01.cashparking.com,United States,2004-04-29T00:00:00,2016-04-30T00:00:00,0
Addition,trumpe.com,97.74.42.79,,smtp.secureserver.net,ns11.domaincontrol.com,United States,2012-07-22T00:00:00,2016-08-04T00:00:00,0
Addition,trumpf.com,185.82.160.120,,smtp1.trumpf.com,dns1.trumpf.com,,1996-11-06T00:00:00,2016-11-06T00:00:00,0
Addition,trumpg.com,148.251.54.106,,mx00.1and1.com,ns-us.1and1-dns.com,Germany,2015-03-16T00:00:00,2016-11-03T00:00:00,
Addition,trumph.com,69.172.201.153,,,ns1.uniregistrymarket.link,United States,2001-10-04T00:00:00,2016-09-02T00:00:00,0
Addition,trumpi.com,79.170.93.91,,aspmx.l.google.com,ns1.flexwebhosting.nl,Netherlands,2001-02-16T00:00:00,2017-01-17T00:00:00,0
Addition,trumpj.com,50.63.202.23,,smtp.secureserver.net,ns75.domaincontrol.com,United States,2016-07-13T00:00:00,2016-07-13T00:00:00,0
Addition,trumpk.com,,,,,,,,
Addition,trumpl.com,,,,,,,,
Addition,trumpm.com,184.168.221.47,,smtp.secureserver.net,ns39.domaincontrol.com,United States,2009-10-20T00:00:00,2016-10-26T00:00:00,0
Addition,trumpn.com,,,,,,,,
Addition,trumpo.com,78.129.221.56,,dedicated.trumpo.com,ns.123-reg.co.uk,United Kingdom,2005-09-16T00:00:00,2016-09-09T00:00:00,0
Addition,trumpp.com,64.99.80.121,,mx.netidentity.com.cust.hostedemail.com,ns1.mdnsservice.com,Canada,2000-01-20T00:00:00,2017-01-03T00:00:00,0
Addition,trumpq.com,162.255.119.250,,eforward1.registrar-servers.com,dns1.registrar-servers.com,United States,2016-03-21T00:00:00,2016-07-25T00:00:00,0
Addition,trumpr.com,94.136.40.82,,,ns.hosteurope.com,United Kingdom,2009-01-29T00:00:00,2017-01-22T00:00:00,
Addition,trumps.com,85.17.25.242,,,ns1.smtmdns.com,Netherlands,1996-03-06T00:00:00,2016-10-22T00:00:00,0
Addition,trumpt.com,184.168.221.96,,smtp.secureserver.net,ns01.cashparking.com,United States,2004-04-29T00:00:00,2016-04-30T00:00:00,0
Addition,trumpu.com,,,,,,,,
Addition,trumpv.com,50.63.202.54,,smtp.secureserver.net,ns11.domaincontrol.com,United States,2016-09-16T00:00:00,2016-09-16T00:00:00,0
Addition,trumpw.com,69.172.201.153,,,ns1.uniregistrymarket.link,United States,2016-07-06T00:00:00,2016-08-28T00:00:00,0
Addition,trumpx.com,162.255.119.242,,,dns1.registrar-servers.com,United States,2010-11-09T00:00:00,2016-10-11T00:00:00,0
Addition,trumpy.com,176.74.176.187,,,ns1.uniregistrymarket.link,United Kingdom,1997-03-03T00:00:00,2016-03-28T00:00:00,0
Addition,trumpz.com,184.168.221.96,,smtp.secureserver.net,ns01.cashparking.com,United States,2012-02-10T00:00:00,2016-02-23T00:00:00,0
Bitsquatting,urump.com,141.8.224.93,,,ns7.rookdns.com,Switzerland,2016-10-04T00:00:00,2016-10-04T00:00:00,0
Bitsquatting,vrump.com,66.96.163.163,,aspmx.l.google.com,ns1.yourhostingaccount.com,United States,2007-07-12T00:00:00,2016-06-27T00:00:00,0
Bitsquatting,prump.com,52.54.132.83,,,nst1.namebrightdns.com,United States,2014-01-01T00:00:00,2017-01-15T00:00:00,0
Bitsquatting,drump.com,5.22.149.135,,,ns1.monikerdns.net,Germany,2004-02-01T00:00:00,2016-11-03T00:00:00,0
Bitsquatting,4rump.com,,,,,,,,
Bitsquatting,tsump.com,46.30.211.193,,mxcluster1.one.com,ns01.one.com,Denmark,2016-04-21T00:00:00,2016-04-21T00:00:00,0
Bitsquatting,tpump.com,,,,abtnsdmz1.abbott.dmz,,2004-03-17T00:00:00,2016-02-14T00:00:00,
Bitsquatting,tvump.com,,,,,,,,
Bitsquatting,tzump.com,,,,,,,,
Bitsquatting,tbump.com,,,,,,,,
Bitsquatting,t2ump.com,,,,,,,,
Bitsquatting,trtmp.com,,,,,,,,
Bitsquatting,trwmp.com,109.68.33.18,,mx.emailconfig.com,ns1.domainmonster.com,United Kingdom,2016-06-07T00:00:00,2016-06-07T00:00:00,0
Bitsquatting,trqmp.com,,,,,,,,
Bitsquatting,tremp.com,217.26.52.28,,mx1.mail.hostpoint.ch,ns.hostpoint.ch,Switzerland,1999-10-30T00:00:00,2016-10-31T00:00:00,0
Bitsquatting,tr5mp.com,,,,,,,,
Bitsquatting,trulp.com,162.255.166.199,,trulp.com,ns1.zaw3.com,United States,2014-12-21T00:00:00,2016-11-30T00:00:00,0
Bitsquatting,truop.com,,,,,,,,
Bitsquatting,truip.com,50.19.220.154,,asp.reflexion.net,ns2.no-ip.com,United States,2008-02-04T00:00:00,2016-01-16T00:00:00,
Bitsquatting,truep.com,69.172.201.153,,,ns1.uniregistrymarket.link,United States,2010-03-18T00:00:00,2016-04-14T00:00:00,0
Bitsquatting,tru-p.com,,,,,,,,
Bitsquatting,trumq.com,119.59.124.210,,mail.trumq.com,ns1.phithan-toyota.com,Thailand,2006-01-30T00:00:00,2016-01-19T00:00:00,0
Bitsquatting,trumr.com,192.64.147.176,,,ns1.voodoo.com,United States,2016-04-01T00:00:00,2016-08-21T00:00:00,0
Bitsquatting,trumt.com,66.96.149.32,,mx.trumt.com,ns1.ipage.com,United States,2012-10-13T00:00:00,2016-10-13T00:00:00,0
Bitsquatting,trumx.com,184.168.221.37,,smtp.secureserver.net,ns47.domaincontrol.com,United States,2015-12-23T00:00:00,2017-01-04T00:00:00,0
Bitsquatting,trum0.com,,,,,,,,
Homoglyph,trurrp.com,,,,,,,,
Homoglyph,trunnp.com,184.168.221.45,,smtp.secureserver.net,ns19.domaincontrol.com,United States,2016-06-03T00:00:00,2016-06-03T00:00:00,0
Homoglyph,trunp.com,184.168.221.39,,smtp.secureserver.net,ns15.domaincontrol.com,United States,2004-09-10T00:00:00,2016-09-02T00:00:00,0
Homoglyph,trurnp.com,69.172.201.217,,,ns1.renewyourname.net,United States,2016-01-10T00:00:00,2017-01-14T00:00:00,0
Hyphenation,t-rump.com,50.63.202.44,,smtp.secureserver.net,ns61.domaincontrol.com,United States,2012-03-24T00:00:00,2016-03-23T00:00:00,
Hyphenation,tr-ump.com,,,,,,,,
Hyphenation,tru-mp.com,50.63.202.60,,smtp.secureserver.net,ns03.domaincontrol.com,United States,2016-12-12T00:00:00,2016-12-12T00:00:00,0
Hyphenation,trum-p.com,,,,,,,,
Insertion,trjump.com,,,,,,,,
Insertion,truhmp.com,184.168.221.61,,smtp.secureserver.net,ns43.domaincontrol.com,United States,2015-12-11T00:00:00,2015-12-11T00:00:00,0
Insertion,t5rump.com,,,,,,,,
Insertion,truimp.com,209.15.13.134,,mail.b-io.co,ns1.dnslink.com,United States,2004-12-11T00:00:00,2017-01-06T00:00:00,0
Insertion,trhump.com,,,,,,,,
Insertion,trujmp.com,,,,,,,,
Insertion,tru8mp.com,,,,,,,,
Insertion,triump.com,103.224.182.210,,,ns1.above.com,Australia,2000-05-10T00:00:00,2016-05-14T00:00:00,0
Insertion,truzmp.com,,,,,,,,
Insertion,trumlp.com,,,,,,,,
Insertion,trupmp.com,,,,,,,,
Insertion,trumnp.com,,,,,,,,
Insertion,trzump.com,,,,,,,,
Insertion,ttrump.com,50.63.202.51,,smtp.secureserver.net,ns49.domaincontrol.com,United States,2011-09-27T00:00:00,2016-06-29T00:00:00,
Insertion,tr4ump.com,,,,,,,,
Insertion,trumjp.com,,,,,,,,
Insertion,treump.com,,,,,,,,
Insertion,trunmp.com,89.31.143.20,,,ns1.trunmp.com,Germany,2016-11-14T00:00:00,2016-11-14T00:00:00,0
Insertion,trdump.com,192.186.233.105,,mail.trdump.com,ns69.domaincontrol.com,United States,2016-05-10T00:00:00,2016-05-10T00:00:00,
Insertion,trfump.com,,,,,,,,
Insertion,tryump.com,184.168.221.38,,smtp.secureserver.net,ns05.domaincontrol.com,United States,2015-06-10T00:00:00,2015-07-22T00:00:00,0
Insertion,truymp.com,,,,,,,,
Insertion,tfrump.com,,,,,,,,
Insertion,tdrump.com,127.0.0.1,,mail.tdrump.com,ns1.antagus.de,,2016-11-21T00:00:00,2016-11-21T00:00:00,
Insertion,trumkp.com,,,,,,,,
Insertion,tr5ump.com,,,,,,,,
Insertion,trulmp.com,,,,,,,,
Insertion,tru7mp.com,,,,,,,,
Insertion,t4rump.com,,,,,,,,
Insertion,terump.com,72.52.4.119,,localhost,ns1.sedoparking.com,United States,2016-08-21T00:00:00,2016-08-21T00:00:00,0
Insertion,trtump.com,,,,,,,,
Insertion,tr7ump.com,,,,,,,,
Insertion,tr8ump.com,,,,,,,,
Insertion,trukmp.com,,,,,,,,
Omission,rump.com,184.168.221.104,,,ns1.afternic.com,United States,1997-11-12T00:00:00,2016-10-31T00:00:00,0
Omission,trmp.com,88.208.252.9,,trmp-com.mail.protection.outlook.com,ns1.livedns.co.uk,United Kingdom,2002-02-11T00:00:00,2017-01-24T00:00:00,0
Omission,trum.com,209.237.150.20,,mx.myregisteredsite.com,dns1.registeredsite.com,United States,1998-04-09T00:00:00,2015-08-21T00:00:00,0
Omission,tump.com,74.207.242.43,,mail.tump.com,ns1.linode.com,United States,1997-03-19T00:00:00,2017-01-26T00:00:00,0
Omission,trup.com,69.172.201.153,,,ns1.uniregistrymarket.link,United States,2000-02-23T00:00:00,2017-01-26T00:00:00,0
Repetition,trrump.com,216.239.32.21,,aspmx.l.google.com,ns41.domaincontrol.com,United States,2011-06-04T00:00:00,2016-12-13T00:00:00,0
Repetition,truump.com,50.63.202.37,,smtp.secureserver.net,ns37.domaincontrol.com,United States,2008-05-14T00:00:00,2016-05-12T00:00:00,0
Repetition,trummp.com,184.168.221.42,,smtp.secureserver.net,ns01.domaincontrol.com,United States,2006-10-12T00:00:00,2016-11-23T00:00:00,0
Replacement,trzmp.com,,,,,,,,
