title,summary,url,"title_detail_base","content_0_base",published,source,sourcetype
"How Obama Framed <b>Trump</b> with Faux Mortgage Insurance Rate Decrease","There are many things for progressives to criticize <b>Trump</b> about. The Obama mortgage deduction sleight of hand isn\'t one of them.","http://www.nakedcapitalism.com/2017/01/how-obama-framed-trump-with-faux-mortgage-insurance-rate-decrease.html","https://www.google.com/alerts/feeds/02165420440336243447/7911029226445205960","https://www.google.com/alerts/feeds/02165420440336243447/7911029226445205960","2017-01-28T11:19:30Z","syndication://Trump Alert",syndication
"<b>Trump</b> Signs A Record Number Of Executive Actions — But Nothing About Ethics","President <b>Trump</b> signed a record number of executive orders and presidential memoranda his first week in office — a total of 14 compared to&nbsp;...","http://www.npr.org/2017/01/28/512055554/trump-signs-a-record-number-of-executive-actions-but-nothing-about-ethics","https://www.google.com/alerts/feeds/02165420440336243447/7911029226445205960","https://www.google.com/alerts/feeds/02165420440336243447/7911029226445205960","2017-01-28T12:11:15Z","syndication://Trump Alert",syndication
"<b>Trump</b> speaking with Putin, 4 other world leaders on busy Saturday","WASHINGTON — Saturday is a full working day in the White House, with President <b>Trump</b> scheduled to make a round of phone calls to world leaders&nbsp;...","http://www.usatoday.com/story/news/politics/2017/01/28/busy-saturday-trump-call-world-leaders-and-sign-more-orders/97181086/","https://www.google.com/alerts/feeds/02165420440336243447/7911029226445205960","https://www.google.com/alerts/feeds/02165420440336243447/7911029226445205960","2017-01-28T13:13:09Z","syndication://Trump Alert",syndication
"<b>Trump\'s</b> Muslim Ban is Culmination of War on Terror Mentality but Still Uniquely Shameful","It is not difficult for any decent human being to immediately apprehend why and how Donald <b>Trump\'s</b> ban on immigrants from seven Muslim countries&nbsp;...","https://theintercept.com/2017/01/28/trumps-muslim-ban-is-culmination-of-war-on-terror-mentality-but-still-uniquely-shameful/","https://www.google.com/alerts/feeds/02165420440336243447/7911029226445205960","https://www.google.com/alerts/feeds/02165420440336243447/7911029226445205960","2017-01-28T13:32:23Z","syndication://Trump Alert",syndication
"How Does <b>Trump\'s</b> Immigration Freeze Square With His Business Interests?","Even as President <b>Trump</b> takes steps to restrict visitors from some majority-Muslim countries, he and his family continue to do business in some of the&nbsp;...","http://www.npr.org/2017/01/28/511996783/how-does-trumps-immigration-freeze-square-with-his-business-interests","https://www.google.com/alerts/feeds/02165420440336243447/7911029226445205960","https://www.google.com/alerts/feeds/02165420440336243447/7911029226445205960","2017-01-28T14:00:30Z","syndication://Trump Alert",syndication
"How Republicans came to support <b>Trump\'s</b> wall","Washington (CNN) When President Donald <b>Trump</b> first proposed spending billions of dollars to build a massive wall on the US-Mexico border,&nbsp;...","http://www.cnn.com/2017/01/28/politics/donald-trump-republicans-support-border-wall/","https://www.google.com/alerts/feeds/02165420440336243447/7911029226445205960","https://www.google.com/alerts/feeds/02165420440336243447/7911029226445205960","2017-01-28T14:15:00Z","syndication://Trump Alert",syndication
"<b>Trump</b> to Field Calls From Several Foreign Leaders, Including Putin and Merkel","After a hectic first week in the White House, <b>Trump</b> began fielding a flurry of phone calls from foreign leaders, which was set to include Russian&nbsp;...","http://www.nbcnews.com/politics/2016-election/trump-field-calls-several-foreign-leaders-including-putin-merkel-n713581","https://www.google.com/alerts/feeds/02165420440336243447/7911029226445205960","https://www.google.com/alerts/feeds/02165420440336243447/7911029226445205960","2017-01-28T15:00:36Z","syndication://Trump Alert",syndication
"World leaders condemn Donald <b>Trump\'s</b> \'Muslim ban\'","European leaders, the United Nations and international groups have condemned US President Donald <b>Trump\'s</b> measures against refugees and&nbsp;...","http://www.aljazeera.com/news/2017/01/world-leaders-condemn-donald-trump-muslim-ban-170128134635041.html","https://www.google.com/alerts/feeds/02165420440336243447/7911029226445205960","https://www.google.com/alerts/feeds/02165420440336243447/7911029226445205960","2017-01-28T15:10:01Z","syndication://Trump Alert",syndication
"Here\'s what Europe would think if <b>Trump</b> goes easy on Putin","Washington (CNN) President Donald <b>Trump\'s</b> hints about easing sanctions on Russia have been met with a clear European response -- please don\'t.","http://www.cnn.com/2017/01/28/politics/trump-russia-sanctions/","https://www.google.com/alerts/feeds/02165420440336243447/7911029226445205960","https://www.google.com/alerts/feeds/02165420440336243447/7911029226445205960","2017-01-28T15:41:06Z","syndication://Trump Alert",syndication
"<b>Trump\'s</b> refugee order sows anger, legal action in its wake","President Donald <b>Trump\'s</b> sweeping ban on people seeking refuge in the United States and visitors from seven Muslim-majority countries caused&nbsp;...","http://www.cnbc.com/2017/01/28/trumps-refugee-order-sows-anger-legal-action-in-its-wake.html","https://www.google.com/alerts/feeds/02165420440336243447/7911029226445205960","https://www.google.com/alerts/feeds/02165420440336243447/7911029226445205960","2017-01-28T16:07:30Z","syndication://Trump Alert",syndication
"5 Embarrassing Secrets Hiding In <b>Trump\'s</b> Cabinet","Well, President Donald &quot;Big Hands, Believe Me&quot; <b>Trump\'s</b> Cabinet picks and other personnel are officially making their way into White House.","http://www.cracked.com/blog/5-weird-quirks-trumps-cabinet-picks-dont-want-you-to-know/","https://www.google.com/alerts/feeds/02165420440336243447/7911029226445205960","https://www.google.com/alerts/feeds/02165420440336243447/7911029226445205960","2017-01-28T17:09:06Z","syndication://Trump Alert",syndication
"Amid distractions he created, <b>Trump</b> moves swiftly to change the country dramatically","President <b>Trump</b> is moving at an unprecedented pace to change the direction of the country and reset America\'s place in the world. Amid many&nbsp;...","https://www.washingtonpost.com/politics/amid-distractions-he-created-trump-moves-swiftly-to-change-the-country-dramatically/2017/01/28/2f84f884-e4e3-11e6-ba11-63c4b4fb5a63_story.html","https://www.google.com/alerts/feeds/02165420440336243447/7911029226445205960","https://www.google.com/alerts/feeds/02165420440336243447/7911029226445205960","2017-01-28T17:33:16Z","syndication://Trump Alert",syndication
"Iran to ban US citizens in response to <b>Trump\'s</b> immigration order","(CNN) Iran says it will ban all US citizens from entering the country in response to President Donald <b>Trump\'s</b> executive order limiting immigration from&nbsp;...","http://www.cnn.com/2017/01/28/middleeast/iran-will-ban-us-citizens/","https://www.google.com/alerts/feeds/02165420440336243447/7911029226445205960","https://www.google.com/alerts/feeds/02165420440336243447/7911029226445205960","2017-01-28T17:36:24Z","syndication://Trump Alert",syndication
"<b>Trump\'s</b> Immigration Ban Draws Disapproval and Applause","The reaction on Saturday to President <b>Trump\'s</b> ban on refugees entering the United States, with particular focus on Muslim countries in the Middle East&nbsp;...","https://www.nytimes.com/2017/01/28/us/trumps-immigration-ban-disapproval-applause.html","https://www.google.com/alerts/feeds/02165420440336243447/7911029226445205960","https://www.google.com/alerts/feeds/02165420440336243447/7911029226445205960","2017-01-28T17:48:45Z","syndication://Trump Alert",syndication
"Google Tells Offshore Staff To Return To The US After <b>Trump</b> Executive Order","Google issued a stark warning to staff traveling overseas who may be impacted by <b>Trump\'s</b> new executive order on immigration: Get back to the U.S.&nbsp;...","http://www.zerohedge.com/news/2017-01-28/google-recalls-offshore-staff-us-after-trump-executive-order","https://www.google.com/alerts/feeds/02165420440336243447/7911029226445205960","https://www.google.com/alerts/feeds/02165420440336243447/7911029226445205960","2017-01-28T18:06:38Z","syndication://Trump Alert",syndication
